Step:339	 mouse A(0,50,17) dir=0	 mouse B(1,92,49) dir=0
Step:340	 mouse A(0,49,17) dir=0	 mouse B(1,93,49) dir=0
Step:341	 mouse A(0,48,17) dir=0	 mouse B(1,93,48) dir=0
Step:342	 mouse A(0,47,17) dir=0	 mouse B(1,93,47) dir=0
Step:343	 mouse A(0,47,18) dir=0	 mouse B(1,94,47) dir=0
Step:344	 mouse A(0,47,19) dir=0	 mouse B(1,95,47) dir=0
Step:345	 mouse A(0,48,19) dir=0	 mouse B(1,96,47) dir=0
Step:346	 mouse A(0,49,19) dir=0	 mouse B(1,97,47) dir=0
Step:347	 mouse A(0,50,19) dir=0	 mouse B(1,98,47) dir=0
Step:348	 mouse A(0,51,19) dir=0	 mouse B(1,99,47) dir=0
Step:349	 mouse A(0,51,20) dir=0	 mouse B(1,99,46) dir=0
Step:350	 mouse A(0,51,21) dir=0	 mouse B(1,99,45) dir=0
Step:351	 mouse A(0,52,21) dir=0	 mouse B(1,99,44) dir=0
Step:352	 mouse A(0,53,21) dir=0	 mouse B(1,99,43) dir=0
Step:353	 mouse A(0,54,21) dir=0	 mouse B(1,98,43) dir=0
Step:354	 mouse A(0,55,21) dir=0	 mouse B(1,97,43) dir=0
Step:355	 mouse A(0,55,22) dir=0	 mouse B(1,97,42) dir=0
Step:356	 mouse A(0,55,23) dir=0	 mouse B(1,97,41) dir=0
Step:357	 mouse A(0,56,23) dir=0	 mouse B(1,98,41) dir=0
