Step:311	 mouse A(0,39,60)	 mouse B(1,99,68)
Step:312	 mouse A(0,39,59)	 mouse B(1,99,67)
Step:313	 mouse A(0,40,59)	 mouse B(1,99,66)
Step:314	 mouse A(0,41,59)	 mouse B(1,99,65)
Step:315	 mouse A(0,41,58)	 mouse B(1,98,65)
Step:316	 mouse A(0,41,57)	 mouse B(1,97,65)
Step:317	 mouse A(0,41,56)	 mouse B(1,96,65)
Step:318	 mouse A(0,41,55)	 mouse B(1,95,65)
Step:319	 mouse A(0,40,55)	 mouse B(1,95,66)
Step:320	 mouse A(0,39,55)	 mouse B(1,95,67)
Step:321	 mouse A(0,39,56)	 mouse B(1,96,67)
Step:322	 mouse A(0,39,57)	 mouse B(1,97,67)
Step:323	 mouse A(0,38,57)	 mouse B(1,97,68)
Step:324	 mouse A(0,37,57)	 mouse B(1,97,69)
Step:325	 mouse A(0,37,56)	 mouse B(1,96,69)
Step:326	 mouse A(0,37,55)	 mouse B(1,95,69)
Step:327	 mouse A(0,37,54)	 mouse B(1,94,69)
Step:328	 mouse A(0,37,53)	 mouse B(1,93,69)
Step:329	 mouse A(0,36,53)	 mouse B(1,93,70)
Step:330	 mouse A(0,35,53)	 mouse B(1,93,71)
Step:331	 mouse A(0,34,53)	 mouse B(1,93,72)
Step:332	 mouse A(0,33,53)	 mouse B(1,93,73)
Step:333	 mouse A(0,33,54)	 mouse B(1,94,73)
Step:334	 mouse A(0,33,55)	 mouse B(1,95,73)
Step:335	 mouse A(0,34,55)	 mouse B(1,95,74)
Step:336	 mouse A(0,35,55)	 mouse B(1,95,75)
Step:337	 mouse A(0,35,56)	 mouse B(1,95,74)
Step:338	 mouse A(0,35,57)	 mouse B(1,95,73)
Step:339	 mouse A(0,34,57)	 mouse B(1,96,73)
Step:340	 mouse A(0,33,57)	 mouse B(1,97,73)
Step:341	 mouse A(0,33,58)	 mouse B(1,97,74)
Step:342	 mouse A(0,33,59)	 mouse B(1,97,75)
Step:343	 mouse A(0,34,59)	 mouse B(1,98,75)
Step:344	 mouse A(0,35,59)	 mouse B(1,99,75)
Step:345	 mouse A(0,36,59)	 mouse B(1,98,75)
Step:346	 mouse A(0,37,59)	 mouse B(1,97,75)
Step:347	 mouse A(0,37,60)	 mouse B(1,97,76)
Step:348	 mouse A(0,37,61)	 mouse B(1,97,77)
Step:349	 mouse A(0,37,62)	 mouse B(1,97,78)
